sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,gt_release_date_masked,gt_hard_dropped,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_state_features,Give It To Me Baby,Rick James,255,396,68,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,41,False,False,False,False,True,True,True,False,False,False,False,True
e66c6a88-88ba-4117-9114-363bfa96294a::t7,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_state_features,Test Drive,John Powell,320,317,23,centroid.anchor_tracks.audio_laion_clap,39,False,False,False,True,True,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_state_features,Armature,Emptyset,102,98,12,dense.clap_text.sonic.audio_laion_clap,39,False,False,True,True,True,True,True,False,False,False,True,True
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_state_features,Mercy,Muse,,,61,analysis.era_tag_popularity,41,False,False,False,False,True,True,True,False,False,False,False,False
10a15ba2-4126-4ae4-ac6c-dc170735ae9e::t7,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_state_features,I Can't Go to Sleep,Wu-Tang Clan,920,920,23,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,43,False,False,False,True,True,True,True,False,False,False,False,True
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_state_features,The Carbon Stampede,Cattle Decapitation,148,148,40,dense.clap_text.sonic_nl.audio_laion_clap.state_features,39,False,False,False,True,True,True,True,False,False,False,True,True
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_state_features,Shaft,Kashmere Stage Band,,,50,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,35,False,False,False,True,True,True,True,False,False,False,False,False
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_state_features,In the Shadows,The Rasmus,,,266,analysis.artist_tag_neighbor_popularity,39,False,False,False,False,False,False,True,False,False,False,False,False
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_state_features,I Believe in a Thing Called Love,The Darkness,,,,,37,False,False,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_state_features,Move Along,The All-American Rejects,130,187,39,analysis.artist_neighbor_scene_v2,41,False,False,False,True,True,True,True,False,False,False,True,True
c7a965c3-cd7f-46f6-b166-9dce9a800e0a::t3,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_state_features,S&M,Rihanna,159,159,30,analysis.tag_popularity_alias,39,False,False,False,True,True,True,True,False,False,False,True,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_state_features,Used To,"Lil Wayne, Drake",,,14,analysis.same_album_fanout,35,False,False,True,True,True,True,True,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_state_features,The Analog Kid,Rush,113,113,14,dense.qwen_8b.intent.metadata_qwen3_embedding_8b.state_features,33,False,False,True,True,True,True,True,False,False,False,True,True
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_state_features,Transcentience,Animals As Leaders,,,102,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,39,False,False,False,False,False,True,True,False,False,False,False,False
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_state_features,God Hates a Coward,Tomahawk,123,128,3,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,39,False,False,True,True,True,True,True,False,False,False,True,True
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_state_features,Redneck Yacht Club,Craig Morgan,58,64,1,analysis.scene_era_tag_popularity_v2,41,False,False,True,True,True,True,True,False,False,True,True,True
d6e50fb5-a135-4008-80b6-d0be434369ac::t3,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_state_features,Volare (Nel Blu Di Pinto Di Blu) - 1998 - Remastered,Dean Martin,26,33,4,analysis.era_tag_popularity,41,False,False,True,True,True,True,True,False,True,True,True,True
38d8ba41-a4ea-48ea-b460-bd93d164302a::t4,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_state_features,Woo Hah!! Got You All In Check,Busta Rhymes,356,373,18,centroid.anchor_tracks.audio_laion_clap,41,False,False,True,True,True,True,True,False,False,False,False,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_state_features,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",68,50,1,centroid.anchor_tracks.audio_laion_clap,41,False,False,True,True,True,True,True,False,False,True,True,True
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,P0_novelty_prior_anchor_failure,failure,all_candidate_plus_targeted_v4_state_features,Gib ihn einfach (Dies das 2),Ghanaian Stallion,,,101,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,39,False,False,False,False,False,True,True,False,False,False,False,False
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Without You,Christina Aguilera,,,1,analysis.scene_era_tag_popularity_v2,39,False,False,True,True,True,True,True,False,False,False,False,False
5ee0dbbc-c1d1-4bed-ba09-7dafeec198bc::t8,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,You Reposted in the Wrong Neighborhood I Glue70 Mashup,Shokk,390,390,22,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,35,False,False,False,True,True,True,True,False,False,False,False,True
4e2482dc-a76c-4f4b-9d3f-7becec2f8a3a::t4,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Goodbye Pork Pie Hat,Charles Mingus,488,477,12,analysis.scene_era_tag_popularity_v2,39,False,False,True,True,True,True,True,False,False,False,False,True
5861afef-85c0-4163-b8b9-5a11e308f352::t4,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Carmesí,Vicente Garcia,125,130,47,dense.siglip2_text.visual.image_siglip2.state_features,39,False,False,False,True,True,True,True,False,False,False,True,True
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Hong Kong 2046,Hong Kong Express,,,283,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b.state_features,39,False,False,False,False,False,False,True,False,False,False,False,False
907921a3-d08f-4ba1-8cce-0e760a9e7044::t7,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Sunrise - Slow Hands Remix,Kasper Bjørke,893,940,108,centroid.anchor_tracks.cf_bpr.state_features,41,False,False,False,False,False,True,True,False,False,False,False,True
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Sparks,Hilary Duff,23,44,1,dense.clap_text.sonic_nl.audio_laion_clap.state_features,35,False,False,True,True,True,True,True,False,True,True,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Acknowledge,Masta Ace,257,296,108,dense.siglip2_text.visual.image_siglip2.state_features,41,False,False,False,False,False,True,True,False,False,False,False,True
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Two To Make It Right,Seduction,376,410,6,analysis.scene_era_tag_popularity_v2,41,False,False,True,True,True,True,True,False,False,False,False,True
ba68a3cc-5278-4680-917a-4ca66d33ef31::t5,P0_new_artist_union20_gap_failure,failure,all_candidate_plus_targeted_v4_state_features,Buttons,The Pussycat Dolls,161,163,44,analysis.artist_tag_neighbor_popularity,41,False,False,False,True,True,True,True,False,False,False,True,True
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_state_features,Love Train,The O'Jays,72,51,4,analysis.artist_tag_neighbor_popularity,41,False,False,True,True,True,True,True,False,False,True,True,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_state_features,Leraine,Kettel,120,140,7,dense.clap_text.sonic_nl_enriched.audio_laion_clap,41,False,False,True,True,True,True,True,False,False,False,True,True
67b9ba8a-382f-4b70-af76-576848d8cf67::t8,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_state_features,Gangsta Gangsta,N.W.A.,,,21,analysis.artist_neighbor_scene_v2,43,False,False,False,True,True,True,True,False,False,False,False,False
9468e467-d396-461b-be29-b30b6cf87c35::t5,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_state_features,Midnight,A Tribe Called Quest,,,179,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,41,False,False,False,False,False,True,True,False,False,False,False,False
e978bb5b-26af-4c7d-b720-b9210bdddf25::t8,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_state_features,Dear Yvette,"Jane Doe, Masta Ace",,,4,analysis.same_album_fanout,37,False,True,True,True,True,True,True,False,False,False,False,False
3676005d-5b7c-4c48-9b73-3e10dd509c07::t3,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_state_features,Conquest of Paradise,Vangelis,234,126,12,analysis.tag_popularity_alias,41,False,False,True,True,True,True,True,False,False,False,False,True
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,failure,all_candidate_plus_targeted_v4_state_features,Thriller,Fall Out Boy,,,22,bm25.state_features,45,False,False,False,True,True,True,True,False,False,False,False,False
