sample_id,pack,valid_gt,gt,rank_bucket,current_best_branch,current_best_rank,union@50,union@100,ideal_lever,ideal_pull_up,rationale,best_production_probe,best_production_probe_rank,gt_tag_oracle_rank,state_gt_tag_overlap,gt_year,gt_pop_rank,gt_tags,gt_clean_tags,current_user,audit_note,source_gap_reason
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,True,Give It To Me Baby / Rick James,deep_or_source_gap_gt_rank_gt100,analysis.era_tag_popularity.anchor_cf_features,109,True,True,sharper_tag_hybrid_scoring,"The state and GT tags overlap, but the GT remains deep/absent; use BM25-tag plus dense-attribute hybrid and specificity weighting.",The current tag surface has signal but too much noise.,state_fact_only_scene_era,2518,1,"funk, rock, soul",1981,2426,"funk, guitars, Funk, sexy, faves, genius, 80s soul weekender, horns, Rock, R&B/Soul","funk, guitars, sexy, 80s soul weekender, horns, Rock, R&B/Soul, male-vocalist","Yes! ""Can You Feel the Force"" is awesome, such a great track. That's exactly the kind of energy I'm looking for. What are some other high-energy, classic disco or funk tracks from that late 70s to early 80s period?",GT is in the candidate pool but below top-20.,
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,True,Mercy / Muse,order_gap_51_100,analysis.tag_popularity_alias.catalog_features,80,False,True,branch_local_rerank_or_survivor_slots,GT is visible at rank 80; use branch-local hybrid scoring or reserve survivor slots.,Candidate source partially works; rank depth is the gap.,state_tag_popularity_alias,77,1,"2010s, alt rock, alternative, alternative rock, alternative-rock, emotional, pop, rock",2015,6953,"beautiful, muse, emotional, fucking awesome, new, alternative rock, piano, vocal layering, 2015, british","emotional, new, alternative rock, piano, vocal layering, 2015, british, rock, glam rock, 2015 single","Yes! Twenty One Pilots is a great choice, ""Stressed Out"" totally has that powerful vibe I'm looking for. Can you recommend a few more songs or artists from the 2000s or 2010s that have a similar intense and emotional alternative rock sound, maybe with a str...","GT appears deep, but projected branch inputs are not sharp enough.",visual_cover_art_source_gap
10a15ba2-4126-4ae4-ac6c-dc170735ae9e::t7,P0_roleless_stale_entity_failure,True,I Can't Go to Sleep / Wu-Tang Clan,order_gap_21_50,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b.catalog_features,29,True,True,branch_local_rerank_existing_branch,GT is already close at rank 29 in dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b.catalog_features; rescore within that branch/pool.,Candidate source works; top-20 ordering is the gap.,state_tag_popularity_alias,2334,1,"hip hop, hip hop/rap, hip-hop, hip-hop/rap, rap",2000,17110,"legend, lyrical, gangsta, get the jelly out ya spine, Hip-Hop/Rap, sleep, wu-tang clan, boring, insomnia, hip-hop","legend, lyrical, gangsta, get the jelly out ya spine, Hip-Hop/Rap, insomnia, hip-hop, wtf is this shit, crime, rap","This is exactly the kind of intricate storytelling I'm digging into. The way Kendrick builds a narrative and develops characters, with the music itself being a part of that journey, is just next level. 'untitled 03' definitely has that layered depth. Keep '...",GT is in the candidate pool but below top-20.,
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,P0_roleless_stale_entity_failure,True,Shaft / Kashmere Stage Band,absent_from_promoted_top100,,,False,False,sharper_tag_hybrid_scoring,"The state and GT tags overlap, but the GT remains deep/absent; use BM25-tag plus dense-attribute hybrid and specificity weighting.",The current tag surface has signal but too much noise.,state_tag_popularity_alias,18216,1,funk,2011,37049,"funk, umlaute, soundtrack, Others, instrumental, lovedtrack, instrumental funk, bespoke radio for sriman, jazz-rock, mark-test2","funk, umlaute, soundtrack, Others, instrumental, instrumental funk, jazz-rock, mark-test2, soulphisticated, groovy","Yes! That's a classic, I know that one well! It definitely fits the vibe of what I was looking for. It's got that undeniable groove.","State has signal, but forced existing branches do not surface GT.",popularity_by_scene_query_gap
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,True,In the Shadows / The Rasmus,deep_or_source_gap_gt_rank_gt100,centroid.anchor_tracks.audio_laion_clap.branch_local_hybrid,197,False,False,sharper_tag_hybrid_scoring,"The state and GT tags overlap, but the GT remains deep/absent; use BM25-tag plus dense-attribute hybrid and specificity weighting.",The current tag surface has signal but too much noise.,state_fact_only_scene_era,4531,1,"alt rock, alternative, alternative rock, alternative-rock, metal, rock",2003,776,"winamp erk playlist all the goodies on my computer, Metal, rock, pop rock, favourite songs, imogen, alternative rock, finnish, Alternative, pozitiv","Metal, rock, pop rock, imogen, alternative rock, finnish, Alternative, pozitiv, indie, good songs","Yes! Guano Apes! I love this song, it's so powerful. The vocalist is amazing. Do you have any other powerful rock songs, maybe with a really strong guitar riff?","GT appears deep, but projected branch inputs are not sharp enough.",retriever_source_or_query_gap
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,P0_roleless_stale_entity_failure,False,I Believe in a Thing Called Love / The Darkness,absent_from_promoted_top100,,,False,False,do_not_optimize_invalid_or_contradictory_gt,Do not chase this with retrieval. Keep it as a guardrail/audit case.,GT audit marks this noisy or contradictory.,,,1,,2003,1093,"Metal, metal, doom metal, Soundtracks, Rock","Metal, doom metal, Soundtracks, Rock","Oh my goodness, that's a very interesting choice! ""I Write Sins Not Tragedies"" definitely has a strong story. I remember a song like that, with a wedding drama. Can you remind me of any specific lines about a bartender, or someone overhearing gossip?",User is recalling a lyric setup from a prior item; GT is a broad next-play jump.,lyric_or_theme_source_gap
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,True,Move Along / The All-American Rejects,order_gap_51_100,dense.clap_text.sonic_nl.audio_laion_clap.branch_local_hybrid,97,False,True,branch_local_rerank_or_survivor_slots,GT is visible at rank 97; use branch-local hybrid scoring or reserve survivor slots.,Candidate source partially works; rank depth is the gap.,artist_neighbor_scene_fact,23,1,"alt rock, alternative, alternative rock, alternative-rock, classic punk, emo rock, emo-rock, hardcore punk, pop punk, pop-punk, proto-punk, punk, punk pop, punk-pop",2005,1407,"alternative rock, hopeful, Alternative, punk-pop, favorites, hope, fav songs, favorite song, emo rock, positive","alternative rock, hopeful, Alternative, punk-pop, hope, fav songs, emo rock, positive, indie, good stuff","That's a good one, it totally brings back early 2000s pop-punk! It's got the energy, but I'm looking for something that feels a bit more... not quite heavier, but with a stronger angsty feel. Still from that early 2000s pop-punk or alternative rock vibe, ma...","GT appears deep, but projected branch inputs are not sharp enough.",scene_subculture_or_genre_query_gap
c7a965c3-cd7f-46f6-b166-9dce9a800e0a::t3,P0_novelty_prior_anchor_failure,True,S&M / Rihanna,deep_or_source_gap_gt_rank_gt100,analysis.artist_tag_neighbor_popularity.anchor_cf_features,120,True,True,promote_state_tag_popularity_alias,state_tag_popularity_alias would put GT at rank 30; promote/tune this production-valid branch.,Current projected tags plus catalog alias expansion.,state_tag_popularity_alias,30,1,"energetic, female, sex",2010,94,"energetic, party time, awful, workout, 2010, hot, unlistenable, 2010s, erotica, s&m","energetic, party time, workout, 2010, hot, 2010s, erotica, catchy as hell, synthpop, attitude","Yes! That's exactly the track! 'Toxic' by Britney Spears always makes me feel that way. It's so iconic and brings back all those confident, dancing vibes. You nailed it! Thanks! Can you recommend something else with a similar super strong, driving beat? May...",GT is in the candidate pool but below top-20.,
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,False,"Used To / Lil Wayne, Drake",order_gap_21_50,dense.clap_text.sonic.audio_laion_clap.anchor_cf_features,48,True,True,do_not_optimize_invalid_or_contradictory_gt,Do not chase this with retrieval. Keep it as a guardrail/audit case.,GT audit marks this noisy or contradictory.,same_album_fanout,14,1,"hip hop, hip hop/rap, hip-hop, hip-hop/rap, love, rap",2015,6081,"lil wayne, love, ovo, bass, Hip-Hop/Rap, hip hop, hip-hop, canada, rap","love, ovo, bass, Hip-Hop/Rap, hip hop, canada, rap","Legend"" is a classic, no doubt! I'm good on Drake for now though. I was hoping for some popular Hip-Hop tracks from *other artists* around late 2015 to early 2016. Any major hits from that period by someone different?",Frozen state has an explicit rejection matching the GT entity.,visual_cover_art_source_gap
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,P0_novelty_prior_anchor_failure,True,Transcentience / Animals As Leaders,deep_or_source_gap_gt_rank_gt100,dense.qwen_8b.intent.metadata_qwen3_embedding_8b.anchor_cf_features,147,False,False,underspecified_or_new_source_needed,No current production-valid probe sees the GT well; keep as candidate for new source audit.,The request/GT connection is weak in available metadata.,artist_neighbor_scene_fact,15452,6383,,2016,41464,Hard Rock,Hard Rock,This is excellent! The melodic technicality of Allegaeon is exactly the kind of balance I was looking for. Can you suggest something else that leans into orchestral or symphonic elements alongside the technicality?,"GT appears deep, but projected branch inputs are not sharp enough.",scene_subculture_or_genre_query_gap
