sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,failure,current_config,Give It To Me Baby,Rick James,172,355,68,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,16,False,False,True,True,True,False,False,False,True,True
e66c6a88-88ba-4117-9114-363bfa96294a::t7,P0_roleless_stale_entity_failure,failure,current_config,Test Drive,John Powell,563,558,180,dense.clap_text.sonic_nl.audio_laion_clap,15,False,False,False,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,failure,current_config,Armature,Emptyset,50,50,12,dense.clap_text.sonic.audio_laion_clap,15,True,True,True,True,True,False,True,True,True,True
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,failure,current_config,Mercy,Muse,,,334,centroid.anchor_tracks.audio_laion_clap,16,False,False,False,False,True,False,False,False,False,False
10a15ba2-4126-4ae4-ac6c-dc170735ae9e::t7,P0_roleless_stale_entity_failure,failure,current_config,I Can't Go to Sleep,Wu-Tang Clan,876,876,34,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,17,False,True,True,True,True,False,False,False,False,True
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,failure,current_config,The Carbon Stampede,Cattle Decapitation,302,356,76,centroid.anchor_tracks.cf_bpr,15,False,False,True,True,True,False,False,False,False,True
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,P0_roleless_stale_entity_failure,failure,current_config,Shaft,Kashmere Stage Band,959,959,50,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,13,False,True,True,True,True,False,False,False,False,True
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,failure,current_config,In the Shadows,The Rasmus,,,835,centroid.anchor_tracks.audio_laion_clap,15,False,False,False,False,True,False,False,False,False,False
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,P0_roleless_stale_entity_failure,failure,current_config,I Believe in a Thing Called Love,The Darkness,,,,,14,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,failure,current_config,Move Along,The All-American Rejects,339,679,103,centroid.anchor_tracks.audio_laion_clap,16,False,False,False,True,True,False,False,False,False,True
