sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,ndcg@20,best_branch_rank,best_branch,n_branch_pools,gt_release_date_masked,gt_hard_dropped,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,failure,current_config_state_selector_family,Give It To Me Baby,Rick James,215,331,0.0,68,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,26,False,False,False,False,True,True,True,False,False,False,False,True
e66c6a88-88ba-4117-9114-363bfa96294a::t7,P0_roleless_stale_entity_failure,failure,current_config_state_selector_family,Test Drive,John Powell,368,366,0.0,180,dense.clap_text.sonic_nl.audio_laion_clap,24,False,False,False,False,False,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,failure,current_config_state_selector_family,Armature,Emptyset,93,92,0.0,12,dense.clap_text.sonic.audio_laion_clap,24,False,False,True,True,True,True,True,False,False,True,True,True
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,failure,current_config_state_selector_family,Mercy,Muse,,,0.0,239,state_feature_selector.lexical,26,False,False,False,False,False,False,True,False,False,False,False,False
10a15ba2-4126-4ae4-ac6c-dc170735ae9e::t7,P0_roleless_stale_entity_failure,failure,current_config_state_selector_family,I Can't Go to Sleep,Wu-Tang Clan,,,0.0,34,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,28,False,False,False,True,True,True,True,False,False,False,False,False
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,failure,current_config_state_selector_family,The Carbon Stampede,Cattle Decapitation,130,134,0.0,40,state_feature_selector.dense.sonic_nl,24,False,False,False,True,True,True,True,False,False,False,True,True
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,P0_roleless_stale_entity_failure,failure,current_config_state_selector_family,Shaft,Kashmere Stage Band,,,0.0,50,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,21,False,False,False,True,True,True,True,False,False,False,False,False
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,failure,current_config_state_selector_family,In the Shadows,The Rasmus,,,0.0,835,centroid.anchor_tracks.audio_laion_clap,24,False,False,False,False,False,False,True,False,False,False,False,False
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,P0_roleless_stale_entity_failure,failure,current_config_state_selector_family,I Believe in a Thing Called Love,The Darkness,,,0.0,,,24,False,False,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,failure,current_config_state_selector_family,Move Along,The All-American Rejects,125,197,0.0,63,state_feature_selector.dense.sonic_nl,26,False,False,False,False,True,True,True,False,False,False,True,True
c7a965c3-cd7f-46f6-b166-9dce9a800e0a::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_selector_family,S&M,Rihanna,147,147,0.0,40,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,24,False,False,False,True,True,True,True,False,False,False,True,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,failure,current_config_state_selector_family,Used To,"Lil Wayne, Drake",,,0.0,258,dense.clap_text.sonic.audio_laion_clap,22,False,False,False,False,False,False,True,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,failure,current_config_state_selector_family,The Analog Kid,Rush,105,105,0.0,20,state_feature_selector.dense.intent,20,False,False,True,True,True,True,True,False,False,False,True,True
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,P0_novelty_prior_anchor_failure,failure,current_config_state_selector_family,Transcentience,Animals As Leaders,,,0.0,103,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,24,False,False,False,False,False,True,True,False,False,False,False,False
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_selector_family,God Hates a Coward,Tomahawk,71,76,0.0,3,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,24,False,False,True,True,True,True,True,False,False,True,True,True
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,failure,current_config_state_selector_family,Redneck Yacht Club,Craig Morgan,47,57,0.0,38,state_feature_selector.dense.sonic_nl,26,False,False,False,True,True,True,True,False,True,True,True,True
d6e50fb5-a135-4008-80b6-d0be434369ac::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_selector_family,Volare (Nel Blu Di Pinto Di Blu) - 1998 - Remastered,Dean Martin,30,42,0.0,9,lookup.era_popularity,26,False,False,True,True,True,True,True,False,True,True,True,True
38d8ba41-a4ea-48ea-b460-bd93d164302a::t4,P0_novelty_prior_anchor_failure,failure,current_config_state_selector_family,Woo Hah!! Got You All In Check,Busta Rhymes,336,358,0.0,18,centroid.anchor_tracks.audio_laion_clap,26,False,False,True,True,True,True,True,False,False,False,False,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,failure,current_config_state_selector_family,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",86,75,0.0,1,centroid.anchor_tracks.audio_laion_clap,26,False,False,True,True,True,True,True,False,False,True,True,True
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_selector_family,Gib ihn einfach (Dies das 2),Ghanaian Stallion,,,0.0,101,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,24,False,False,False,False,False,True,True,False,False,False,False,False
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,failure,current_config_state_selector_family,Without You,Christina Aguilera,,,0.0,113,state_feature_selector.centroid.anchor_tracks,24,False,False,False,False,False,True,True,False,False,False,False,False
5ee0dbbc-c1d1-4bed-ba09-7dafeec198bc::t8,P0_new_artist_union20_gap_failure,failure,current_config_state_selector_family,You Reposted in the Wrong Neighborhood I Glue70 Mashup,Shokk,444,444,0.0,24,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,22,False,False,False,True,True,True,True,False,False,False,False,True
4e2482dc-a76c-4f4b-9d3f-7becec2f8a3a::t4,P0_new_artist_union20_gap_failure,failure,current_config_state_selector_family,Goodbye Pork Pie Hat,Charles Mingus,428,412,0.0,165,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,24,False,False,False,False,False,True,True,False,False,False,False,True
5861afef-85c0-4163-b8b9-5a11e308f352::t4,P0_new_artist_union20_gap_failure,failure,current_config_state_selector_family,Carmesí,Vicente Garcia,168,173,0.0,65,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,24,False,False,False,False,True,True,True,False,False,False,True,True
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,failure,current_config_state_selector_family,Hong Kong 2046,Hong Kong Express,,,0.0,335,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,24,False,False,False,False,False,False,True,False,False,False,False,False
907921a3-d08f-4ba1-8cce-0e760a9e7044::t7,P0_new_artist_union20_gap_failure,failure,current_config_state_selector_family,Sunrise - Slow Hands Remix,Kasper Bjørke,896,952,0.0,159,state_feature_selector.dense.sonic_nl_enriched,26,False,False,False,False,False,True,True,False,False,False,False,True
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,failure,current_config_state_selector_family,Sparks,Hilary Duff,11,21,0.27894294565112987,1,state_feature_selector.dense.sonic_nl,22,False,False,True,True,True,True,True,True,True,True,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,failure,current_config_state_selector_family,Acknowledge,Masta Ace,354,437,0.0,229,dense.qwen_0_6b.attributes_enriched.attributes_qwen3_embedding_0_6b,26,False,False,False,False,False,False,True,False,False,False,False,True
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,failure,current_config_state_selector_family,Two To Make It Right,Seduction,337,385,0.0,183,centroid.anchor_tracks.audio_laion_clap,26,False,False,False,False,False,True,True,False,False,False,False,True
ba68a3cc-5278-4680-917a-4ca66d33ef31::t5,P0_new_artist_union20_gap_failure,failure,current_config_state_selector_family,Buttons,The Pussycat Dolls,309,377,0.0,79,centroid.anchor_tracks.image_siglip2,26,False,False,False,False,True,True,True,False,False,False,False,True
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,failure,current_config_state_selector_family,Love Train,The O'Jays,101,80,0.0,62,state_feature_selector.dense.sonic_nl,26,False,False,False,False,True,True,True,False,False,False,True,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,failure,current_config_state_selector_family,Leraine,Kettel,93,107,0.0,7,dense.clap_text.sonic_nl_enriched.audio_laion_clap,26,False,False,True,True,True,True,True,False,False,True,True,True
67b9ba8a-382f-4b70-af76-576848d8cf67::t8,P1_temporal_constraint_failure,failure,current_config_state_selector_family,Gangsta Gangsta,N.W.A.,,,0.0,138,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,28,False,False,False,False,False,True,True,False,False,False,False,False
9468e467-d396-461b-be29-b30b6cf87c35::t5,P1_temporal_constraint_failure,failure,current_config_state_selector_family,Midnight,A Tribe Called Quest,,,0.0,180,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,26,False,False,False,False,False,True,True,False,False,False,False,False
e978bb5b-26af-4c7d-b720-b9210bdddf25::t8,P1_temporal_constraint_failure,failure,current_config_state_selector_family,Dear Yvette,"Jane Doe, Masta Ace",,,0.0,451,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,24,False,True,False,False,False,False,True,False,False,False,False,False
3676005d-5b7c-4c48-9b73-3e10dd509c07::t3,P1_temporal_constraint_failure,failure,current_config_state_selector_family,Conquest of Paradise,Vangelis,184,97,0.0,45,state_feature_selector.dense.sonic_nl,26,False,False,False,True,True,True,True,False,False,False,True,True
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,failure,current_config_state_selector_family,Thriller,Fall Out Boy,,,0.0,22,state_feature_selector.lexical,29,False,False,False,True,True,True,True,False,False,False,False,False
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,failure,current_config_state_selector_family,Breath and Life,Audiomachine,414,308,0.0,26,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,22,False,False,False,True,True,True,True,False,False,False,False,True
c4c0c288-dbcd-4970-ad52-901aafe91b88::t4,P1_temporal_constraint_failure,failure,current_config_state_selector_family,I Juswanna Chill,Large Professor,790,460,0.0,228,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,26,False,False,False,False,False,False,True,False,False,False,False,True
71bb177a-dab1-4bbc-8508-22d809b05c31::t6,P1_temporal_constraint_failure,failure,current_config_state_selector_family,Constant Craving - Remastered,k.d. lang,998,520,0.0,147,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,28,False,False,False,False,False,True,True,False,False,False,False,True
4d0afb6b-3705-493f-ab16-ca75ea311e1a::t7,P1_rejection_guardrail_failure,failure,current_config_state_selector_family,Pilot,"Benjamin Wallfisch, Hans Zimmer",234,17,0.0,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,24,False,False,True,True,True,True,True,False,False,False,False,True
1e14a07f-7369-4d24-9285-9343b6b18353::t8,P1_rejection_guardrail_failure,failure,current_config_state_selector_family,Nordlys,Myrkur,19,13,0.23137821315975915,14,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,24,False,False,True,True,True,True,True,True,True,True,True,True
d265b5a9-af57-4070-90f5-692a960c5aaa::t6,P1_rejection_guardrail_failure,failure,current_config_state_selector_family,Get Lucky (feat. Pharrell Williams &amp; Nile Rodgers) - Radio Edit,"Nile Rodgers, Pharrell Williams, Daft Punk",,,0.0,6,centroid.anchor_tracks.cf_bpr,26,False,True,True,True,True,True,True,False,False,False,False,False
b2582e52-6d13-40b4-8552-2d8b63fa6c75::t8,P1_rejection_guardrail_failure,failure,current_config_state_selector_family,Soil,System Of A Down,,,0.0,11,dense.qwen_0_6b.intent.metadata_qwen3_embedding_0_6b,24,False,True,True,True,True,True,True,False,False,False,False,False
d265b5a9-af57-4070-90f5-692a960c5aaa::t8,P1_rejection_guardrail_failure,failure,current_config_state_selector_family,Motherboard,Daft Punk,,,0.0,506,dense.qwen_0_6b.metadata.metadata_qwen3_embedding_0_6b,22,False,True,False,False,False,False,True,False,False,False,False,False
