sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,ndcg@20,best_branch_rank,best_branch,n_branch_pools,gt_release_date_masked,gt_hard_dropped,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,failure,current_config_state_selector,Give It To Me Baby,Rick James,200,388,0.0,68,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,17,False,False,False,False,True,True,True,False,False,False,True,True
e66c6a88-88ba-4117-9114-363bfa96294a::t7,P0_roleless_stale_entity_failure,failure,current_config_state_selector,Test Drive,John Powell,556,548,0.0,180,dense.clap_text.sonic_nl.audio_laion_clap,16,False,False,False,False,False,True,True,False,False,False,False,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,failure,current_config_state_selector,Armature,Emptyset,64,64,0.0,12,dense.clap_text.sonic.audio_laion_clap,16,False,False,True,True,True,True,True,False,False,True,True,True
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,failure,current_config_state_selector,Mercy,Muse,,,0.0,334,centroid.anchor_tracks.audio_laion_clap,17,False,False,False,False,False,False,True,False,False,False,False,False
10a15ba2-4126-4ae4-ac6c-dc170735ae9e::t7,P0_roleless_stale_entity_failure,failure,current_config_state_selector,I Can't Go to Sleep,Wu-Tang Clan,914,914,0.0,34,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,18,False,False,False,True,True,True,True,False,False,False,False,True
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,failure,current_config_state_selector,The Carbon Stampede,Cattle Decapitation,262,304,0.0,76,centroid.anchor_tracks.cf_bpr,16,False,False,False,False,True,True,True,False,False,False,False,True
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,P0_roleless_stale_entity_failure,failure,current_config_state_selector,Shaft,Kashmere Stage Band,,,0.0,50,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,14,False,False,False,True,True,True,True,False,False,False,False,False
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,failure,current_config_state_selector,In the Shadows,The Rasmus,,,0.0,835,centroid.anchor_tracks.audio_laion_clap,16,False,False,False,False,False,False,True,False,False,False,False,False
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,P0_roleless_stale_entity_failure,failure,current_config_state_selector,I Believe in a Thing Called Love,The Darkness,,,0.0,,,15,False,False,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,failure,current_config_state_selector,Move Along,The All-American Rejects,333,626,0.0,103,centroid.anchor_tracks.audio_laion_clap,17,False,False,False,False,False,True,True,False,False,False,False,True
c7a965c3-cd7f-46f6-b166-9dce9a800e0a::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_selector,S&M,Rihanna,140,140,0.0,40,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,16,False,False,False,True,True,True,True,False,False,False,True,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,failure,current_config_state_selector,Used To,"Lil Wayne, Drake",,,0.0,258,dense.clap_text.sonic.audio_laion_clap,14,False,False,False,False,False,False,True,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,failure,current_config_state_selector,The Analog Kid,Rush,177,177,0.0,63,state_feature_selector,13,False,False,False,False,True,True,True,False,False,False,True,True
8dc4c630-8369-4720-b379-2a7dcd8d34aa::t7,P0_novelty_prior_anchor_failure,failure,current_config_state_selector,Transcentience,Animals As Leaders,,,0.0,103,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,16,False,False,False,False,False,True,True,False,False,False,False,False
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_selector,God Hates a Coward,Tomahawk,183,189,0.0,3,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,16,False,False,True,True,True,True,True,False,False,False,True,True
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,failure,current_config_state_selector,Redneck Yacht Club,Craig Morgan,38,52,0.0,55,dense.clap_text.sonic_nl.audio_laion_clap,17,False,False,False,False,True,True,True,False,True,True,True,True
d6e50fb5-a135-4008-80b6-d0be434369ac::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_selector,Volare (Nel Blu Di Pinto Di Blu) - 1998 - Remastered,Dean Martin,30,48,0.0,9,lookup.era_popularity,17,False,False,True,True,True,True,True,False,True,True,True,True
38d8ba41-a4ea-48ea-b460-bd93d164302a::t4,P0_novelty_prior_anchor_failure,failure,current_config_state_selector,Woo Hah!! Got You All In Check,Busta Rhymes,193,228,0.0,18,centroid.anchor_tracks.audio_laion_clap,17,False,False,True,True,True,True,True,False,False,False,True,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,failure,current_config_state_selector,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",25,19,0.0,1,centroid.anchor_tracks.audio_laion_clap,17,False,False,True,True,True,True,True,False,True,True,True,True
cdd374ea-1ad9-4440-8c2d-4c76c5fb3f78::t3,P0_novelty_prior_anchor_failure,failure,current_config_state_selector,Gib ihn einfach (Dies das 2),Ghanaian Stallion,,,0.0,101,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,16,False,False,False,False,False,True,True,False,False,False,False,False
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,failure,current_config_state_selector,Without You,Christina Aguilera,,,0.0,243,centroid.anchor_tracks.audio_laion_clap,16,False,False,False,False,False,False,True,False,False,False,False,False
5ee0dbbc-c1d1-4bed-ba09-7dafeec198bc::t8,P0_new_artist_union20_gap_failure,failure,current_config_state_selector,You Reposted in the Wrong Neighborhood I Glue70 Mashup,Shokk,275,275,0.0,24,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,14,False,False,False,True,True,True,True,False,False,False,False,True
4e2482dc-a76c-4f4b-9d3f-7becec2f8a3a::t4,P0_new_artist_union20_gap_failure,failure,current_config_state_selector,Goodbye Pork Pie Hat,Charles Mingus,365,352,0.0,165,dense.qwen_8b.intent.metadata_qwen3_embedding_8b,16,False,False,False,False,False,True,True,False,False,False,False,True
5861afef-85c0-4163-b8b9-5a11e308f352::t4,P0_new_artist_union20_gap_failure,failure,current_config_state_selector,Carmesí,Vicente Garcia,189,203,0.0,65,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,16,False,False,False,False,True,True,True,False,False,False,True,True
