sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000,protected_best_branch,protected_best_branch_rank,branch_only_best_branch,branch_only_best_branch_rank,additive_best_branch,additive_best_branch_rank,protected_union@20,protected_union@50,protected_union@100,branch_only@20,branch_only@50,branch_only@100,additive_union@20,additive_union@50,additive_union@100
0b9d547f-e748-464a-90e2-2199149f915c::t6,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Give It To Me Baby,Rick James,185,366,66,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,24,False,False,True,True,True,False,False,False,True,True,,,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,66,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,66,False,False,False,False,False,True,False,False,True
e66c6a88-88ba-4117-9114-363bfa96294a::t7,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Test Drive,John Powell,269,262,22,centroid.anchor_tracks.audio_laion_clap,23,False,True,True,True,True,False,False,False,False,True,,,centroid.anchor_tracks.audio_laion_clap,22,centroid.anchor_tracks.audio_laion_clap,22,False,False,False,False,True,True,False,True,True
0858f444-c9af-4f08-a9fc-2a731a24182b::t5,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Armature,Emptyset,53,53,12,dense.clap_text.sonic.audio_laion_clap,23,True,True,True,True,True,False,False,True,True,True,,,dense.clap_text.sonic.audio_laion_clap,12,dense.clap_text.sonic.audio_laion_clap,12,False,False,False,True,True,True,True,True,True
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Mercy,Muse,,,60,analysis.era_tag_popularity,24,False,False,True,True,True,False,False,False,False,False,,,analysis.era_tag_popularity,60,analysis.era_tag_popularity,60,False,False,False,False,False,True,False,False,True
10a15ba2-4126-4ae4-ac6c-dc170735ae9e::t7,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,I Can't Go to Sleep,Wu-Tang Clan,828,828,27,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,25,False,True,True,True,True,False,False,False,False,True,,,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,27,dense.qwen_0_6b.attributes.attributes_qwen3_embedding_0_6b,27,False,False,False,False,True,True,False,True,True
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,The Carbon Stampede,Cattle Decapitation,240,279,67,centroid.anchor_tracks.cf_bpr,23,False,False,True,True,True,False,False,False,False,True,,,centroid.anchor_tracks.cf_bpr,67,centroid.anchor_tracks.cf_bpr,67,False,False,False,False,False,True,False,False,True
5f29a9df-ad38-4349-a2f0-c9a690ea072d::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Shaft,Kashmere Stage Band,,,50,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,21,False,True,True,True,True,False,False,False,False,False,,,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,50,dense.qwen_8b.attributes_enriched.attributes_qwen3_embedding_8b,50,False,False,False,False,True,True,False,True,True
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,In the Shadows,The Rasmus,,,265,analysis.artist_tag_neighbor_popularity,23,False,False,False,False,True,False,False,False,False,False,,,analysis.artist_tag_neighbor_popularity,265,analysis.artist_tag_neighbor_popularity,265,False,False,False,False,False,False,False,False,False
88af7ec3-c368-421b-9512-d0180da3d1f6::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,I Believe in a Thing Called Love,The Darkness,,,,,22,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,failure,all_candidate_plus_targeted_v4_hard_drop,Move Along,The All-American Rejects,353,710,39,analysis.artist_neighbor_scene_v2,24,False,True,True,True,True,False,False,False,False,True,,,analysis.artist_neighbor_scene_v2,39,analysis.artist_neighbor_scene_v2,39,False,False,False,False,True,True,False,True,True
